Date,Open,High,Low,Close,Volume
20-Dec-13,1089.29,1101.17,1088.00,1100.62,3267417
19-Dec-13,1081.45,1091.99,1079.08,1086.22,1666006
18-Dec-13,1071.99,1084.95,1059.04,1084.75,2212546
17-Dec-13,1074.10,1080.76,1068.38,1069.86,1539917
16-Dec-13,1063.01,1074.69,1062.01,1072.98,1606175
13-Dec-13,1075.21,1076.29,1057.88,1060.79,2164759
12-Dec-13,1079.57,1082.94,1069.00,1069.96,1596498
11-Dec-13,1087.40,1091.32,1075.17,1077.29,1711835
10-Dec-13,1075.65,1092.31,1075.65,1084.66,1856112
9-Dec-13,1070.09,1082.31,1068.02,1078.14,1484103
6-Dec-13,1069.79,1070.00,1060.08,1069.87,1431235
5-Dec-13,1057.20,1059.66,1051.09,1057.34,1134919
4-Dec-13,1051.37,1063.98,1050.00,1058.18,1192139
3-Dec-13,1050.95,1063.44,1049.02,1053.26,1678054
2-Dec-13,1063.51,1066.35,1050.76,1054.48,1375234
29-Nov-13,1062.16,1066.62,1059.45,1059.59,1192773
27-Nov-13,1062.03,1068.00,1060.00,1063.11,1123559
26-Nov-13,1048.60,1061.50,1042.94,1058.41,2287182
25-Nov-13,1037.16,1053.19,1035.02,1045.93,1613009
22-Nov-13,1033.42,1036.17,1029.22,1031.89,1254310
21-Nov-13,1027.00,1038.31,1026.00,1034.07,1092497
20-Nov-13,1029.95,1033.36,1020.36,1022.31,965535
19-Nov-13,1031.72,1034.75,1023.05,1025.20,1131619
18-Nov-13,1035.75,1048.74,1029.24,1031.55,1760249
15-Nov-13,1034.87,1038.00,1030.31,1033.56,1277772
14-Nov-13,1033.92,1039.75,1030.35,1035.23,1168469
13-Nov-13,1006.75,1032.85,1006.50,1032.47,1584004
12-Nov-13,1007.70,1017.56,1005.00,1011.78,1218960
11-Nov-13,1009.51,1015.93,1008.00,1010.59,1112778
8-Nov-13,1008.75,1018.50,1008.50,1016.03,1294508
7-Nov-13,1022.61,1023.93,1007.64,1007.95,1680071
6-Nov-13,1025.60,1027.00,1015.37,1022.75,914624
5-Nov-13,1020.35,1031.65,1017.42,1021.52,1181488
4-Nov-13,1031.50,1032.37,1022.03,1026.11,1139185
1-Nov-13,1031.79,1036.00,1025.10,1027.04,1283938
31-Oct-13,1028.93,1041.52,1023.97,1030.58,1640035
30-Oct-13,1037.43,1037.51,1026.00,1030.42,1327100
29-Oct-13,1019.10,1036.94,1013.50,1036.24,1608296
28-Oct-13,1015.20,1023.43,1012.98,1015.00,1166400
25-Oct-13,1028.82,1028.82,1010.74,1015.20,2025288
24-Oct-13,1031.87,1040.57,1024.80,1025.55,2088370
23-Oct-13,1001.00,1034.75,1000.63,1031.41,2667586
22-Oct-13,1005.00,1013.00,995.79,1007.00,2211479
21-Oct-13,1011.46,1019.00,999.55,1003.30,3633166
18-Oct-13,976.58,1015.46,974.00,1011.41,11584258
17-Oct-13,892.99,896.90,885.73,888.79,4256622
16-Oct-13,885.87,898.33,884.01,898.03,2011786
15-Oct-13,875.76,885.63,874.00,882.01,1594777
14-Oct-13,866.66,876.25,865.39,876.11,1243673
11-Oct-13,866.03,873.48,865.30,871.99,1408912
10-Oct-13,863.84,868.83,860.21,868.24,2258931
9-Oct-13,856.28,862.65,842.98,855.86,2653118
8-Oct-13,865.32,865.98,851.63,853.67,1938778
7-Oct-13,867.45,873.99,864.11,865.74,1294017
4-Oct-13,875.00,877.51,870.00,872.35,1358454
3-Oct-13,888.00,894.10,872.10,876.09,2119212
2-Oct-13,882.73,889.36,877.82,887.99,1489132
1-Oct-13,880.25,887.67,880.05,887.00,1685208
30-Sep-13,869.08,880.84,868.31,875.91,1719253
27-Sep-13,874.82,877.52,871.31,876.39,1258822
26-Sep-13,878.30,882.75,875.00,878.17,1260307
25-Sep-13,886.55,886.55,875.60,877.23,1654113
24-Sep-13,886.50,890.10,881.40,886.84,1486783
23-Sep-13,896.15,901.59,885.20,886.50,1748154
20-Sep-13,898.39,904.13,895.62,903.11,4348349
19-Sep-13,905.99,905.99,895.40,898.39,1598201
18-Sep-13,886.35,903.97,883.07,903.32,1937266
17-Sep-13,887.41,888.40,881.00,886.11,1260257
16-Sep-13,896.20,897.00,884.87,887.76,1341311
13-Sep-13,894.50,895.68,884.84,889.07,1326886
12-Sep-13,897.40,897.90,890.01,893.06,1095465
11-Sep-13,888.54,896.97,886.08,896.19,1610146
10-Sep-13,890.02,892.00,884.00,888.67,1287836
9-Sep-13,883.73,889.75,882.42,888.05,1220140
6-Sep-13,882.44,883.78,873.74,879.58,1560588
5-Sep-13,873.50,879.88,871.61,879.56,1292601
4-Sep-13,860.35,873.50,855.17,871.63,2041640
3-Sep-13,854.36,866.19,853.95,860.38,2047736
30-Aug-13,855.76,858.04,845.56,846.90,1861554
29-Aug-13,849.07,860.38,848.59,855.43,1478494
28-Aug-13,850.25,855.41,847.77,848.55,1330324
27-Aug-13,859.62,863.73,847.90,850.15,1727986
26-Aug-13,870.00,874.90,866.05,866.39,1056184
23-Aug-13,877.83,878.00,869.75,870.21,1077093
22-Aug-13,872.70,874.75,870.25,873.71,870491
21-Aug-13,870.65,876.91,866.50,869.33,1761596
20-Aug-13,868.35,872.11,863.54,865.42,1236259
19-Aug-13,857.71,872.00,857.45,865.65,1811425
16-Aug-13,861.28,862.44,856.54,856.91,1675387
15-Aug-13,864.44,864.92,858.00,859.66,1870812
14-Aug-13,878.37,880.23,867.16,869.81,2083229
13-Aug-13,886.83,888.50,876.20,881.25,1420462
12-Aug-13,886.90,887.00,881.65,885.51,1377354
9-Aug-13,890.56,895.52,890.00,890.41,1323761
8-Aug-13,895.49,895.84,885.30,892.66,1488045
7-Aug-13,895.04,898.45,889.09,890.65,1380382
6-Aug-13,904.69,909.71,895.73,896.57,1506475
5-Aug-13,905.39,905.52,899.20,905.00,1309921
2-Aug-13,903.44,907.00,900.82,906.57,1717765
1-Aug-13,895.00,904.55,895.00,904.22,2138314
31-Jul-13,892.99,896.51,886.18,887.75,2173446
30-Jul-13,885.46,895.61,880.87,890.92,1756116
29-Jul-13,884.90,894.82,880.89,882.27,1893042
26-Jul-13,886.99,889.99,882.00,885.35,1778244
25-Jul-13,893.87,896.85,886.08,887.70,3005227
24-Jul-13,907.26,910.30,900.70,902.90,2080778
23-Jul-13,910.70,913.00,899.57,903.80,2046745
22-Jul-13,902.00,912.67,897.00,910.70,2904179
19-Jul-13,886.61,902.95,875.61,896.60,7363398
18-Jul-13,918.99,920.00,903.19,910.68,3634430
17-Jul-13,921.00,926.86,916.30,918.55,1506168
16-Jul-13,927.13,927.97,913.90,919.61,1983527
15-Jul-13,924.30,928.00,916.36,924.69,1961361
12-Jul-13,920.00,923.00,915.24,923.00,2568942
11-Jul-13,913.00,920.81,908.52,920.24,2587845
10-Jul-13,903.45,911.14,900.38,905.99,1715973
9-Jul-13,911.00,912.95,897.98,905.24,1979338
8-Jul-13,899.21,906.27,897.08,905.09,1970157
5-Jul-13,890.01,895.41,887.34,893.49,1701830
3-Jul-13,879.90,889.17,878.50,886.43,1048628
2-Jul-13,890.20,891.00,877.27,882.31,1891812
1-Jul-13,886.45,892.08,885.00,887.88,1726780
28-Jun-13,874.90,881.84,874.19,880.37,2350049
27-Jun-13,878.80,884.69,876.65,877.07,1926554
26-Jun-13,873.75,878.00,870.57,873.65,1832735
25-Jun-13,877.26,879.68,864.51,866.20,2553889
24-Jun-13,871.88,876.32,863.25,869.79,3020242
21-Jun-13,888.34,889.88,873.07,880.93,3982214
20-Jun-13,893.99,901.00,883.31,884.74,3377578
19-Jun-13,901.37,910.84,897.50,900.68,2917112
18-Jun-13,888.65,901.00,888.35,900.62,2167878
17-Jun-13,879.23,889.43,878.28,886.25,2147298
14-Jun-13,880.10,884.70,874.13,875.04,2242338
13-Jun-13,868.98,879.66,865.50,877.00,2071259
12-Jun-13,885.46,886.00,869.65,871.98,2205049
11-Jun-13,883.97,887.00,879.52,879.81,1752874
10-Jun-13,882.10,891.00,880.09,890.22,2338184
7-Jun-13,870.42,880.00,865.32,879.73,2675269
6-Jun-13,864.30,866.33,847.22,864.64,2579605
5-Jun-13,862.51,869.45,857.13,859.70,2107041
4-Jun-13,867.85,870.59,854.07,859.10,1868745
3-Jun-13,863.54,873.97,855.02,867.63,2476996
31-May-13,868.12,877.00,867.52,871.22,1969857
30-May-13,869.92,878.90,866.41,870.76,2120987
29-May-13,875.71,877.99,864.29,868.31,2014246
28-May-13,883.50,892.14,880.40,881.27,2257714
24-May-13,875.26,878.82,871.01,873.32,2296760
23-May-13,877.00,889.96,874.00,882.79,2279347
22-May-13,902.56,909.31,886.88,889.42,2551309
21-May-13,908.02,911.66,897.61,906.97,1983385
20-May-13,905.00,920.60,905.00,908.53,2272942
17-May-13,910.02,913.49,900.52,909.18,2792663
16-May-13,919.00,919.98,902.01,903.87,3211738
15-May-13,895.50,916.38,894.02,915.89,3995319
14-May-13,877.50,888.69,877.14,887.10,1581296
13-May-13,878.89,882.47,873.38,877.53,1448730
10-May-13,875.31,880.54,872.16,880.23,1900717
9-May-13,870.84,879.66,868.23,871.48,2200758
8-May-13,857.00,873.88,852.91,873.63,2468403
7-May-13,863.01,863.87,850.67,857.23,1967986
6-May-13,848.26,861.85,848.26,861.55,2141834
3-May-13,836.96,846.80,836.00,845.72,2512661
2-May-13,820.10,834.55,819.05,829.61,2018546
1-May-13,823.26,824.72,816.36,820.43,1455634
30-Apr-13,819.00,827.64,817.68,824.57,2306836
29-Apr-13,803.25,822.70,803.00,819.06,2301967
26-Apr-13,807.60,807.74,796.58,801.42,2488237
25-Apr-13,816.25,816.47,807.63,809.10,1992301
24-Apr-13,808.11,818.00,808.00,813.45,1829151
23-Apr-13,801.00,815.50,800.36,807.90,2299900
22-Apr-13,800.60,803.96,775.00,800.11,2883407
19-Apr-13,769.16,803.44,766.26,799.87,5804316
18-Apr-13,785.35,785.80,761.26,765.91,3328777
17-Apr-13,786.75,790.84,778.10,782.56,2037355
16-Apr-13,786.59,796.00,783.92,793.37,1742374
15-Apr-13,785.95,797.00,777.02,781.93,2454767
12-Apr-13,791.99,792.10,782.93,790.05,1636829
11-Apr-13,792.88,793.10,784.06,790.39,2028766
10-Apr-13,782.92,792.35,776.00,790.18,1978862
9-Apr-13,775.50,783.75,773.11,777.65,2157928
8-Apr-13,778.75,779.55,768.40,774.85,2832718
5-Apr-13,786.06,786.99,776.40,783.05,3433994
4-Apr-13,804.25,805.75,791.30,795.07,2448102
3-Apr-13,813.46,814.20,800.67,806.20,1738753
2-Apr-13,804.54,814.83,804.00,813.04,2041713
1-Apr-13,795.01,802.25,793.25,801.19,1807580
28-Mar-13,803.99,805.37,793.30,794.19,2287712
27-Mar-13,806.68,807.00,801.33,802.66,2163295
26-Mar-13,813.50,814.00,807.79,812.42,1191912
25-Mar-13,812.41,819.23,806.82,809.64,1712684
22-Mar-13,814.74,815.24,809.64,810.31,1491678
21-Mar-13,811.29,816.92,809.85,811.26,1477590
20-Mar-13,816.83,817.51,811.44,814.71,1464122
19-Mar-13,811.24,819.25,806.45,811.32,2098176
18-Mar-13,805.00,812.76,801.47,807.79,1838552
15-Mar-13,818.50,820.30,813.34,814.30,3099791
14-Mar-13,826.99,826.99,817.39,821.54,1651111
13-Mar-13,827.90,830.69,822.31,825.31,1641413
12-Mar-13,830.71,831.89,823.67,827.61,2008979
11-Mar-13,831.69,839.70,831.50,834.82,1595678
8-Mar-13,834.50,834.92,825.05,831.52,2912283
7-Mar-13,834.06,836.62,829.58,832.60,2054238
6-Mar-13,841.02,844.00,828.81,831.38,2873998
5-Mar-13,828.93,840.15,828.90,838.60,4045034
4-Mar-13,805.30,822.84,805.00,821.50,2776185
1-Mar-13,797.80,807.14,796.15,806.19,2175425
28-Feb-13,801.10,806.99,801.03,801.20,2265874
27-Feb-13,794.80,804.75,791.11,799.78,2028515
26-Feb-13,795.00,795.95,784.40,790.13,2205059
25-Feb-13,802.30,808.41,790.49,790.77,2307008
22-Feb-13,799.26,801.25,793.80,799.71,2054050
21-Feb-13,798.00,805.45,791.22,795.53,3511036
20-Feb-13,805.30,808.97,791.79,792.46,2765029
19-Feb-13,795.99,807.00,795.28,806.85,2932924
15-Feb-13,787.40,793.26,787.07,792.89,2729917
14-Feb-13,779.73,788.74,777.77,787.82,1735219
13-Feb-13,780.13,785.35,779.97,782.86,1198170
12-Feb-13,781.75,787.90,779.37,780.70,1858945
11-Feb-13,778.40,783.00,773.75,782.42,2167656
8-Feb-13,780.13,786.67,779.56,785.37,3024853
7-Feb-13,769.70,778.81,765.50,773.95,2840506
6-Feb-13,759.07,772.96,758.50,770.17,2079687
5-Feb-13,761.13,771.11,759.46,765.74,1870716
4-Feb-13,767.69,770.47,758.27,759.02,3041242
1-Feb-13,758.20,776.60,758.10,775.60,3746165
31-Jan-13,750.51,757.62,750.25,755.69,1634556
30-Jan-13,753.74,760.95,752.91,753.83,1732972
29-Jan-13,746.75,756.95,746.54,753.68,1747734
28-Jan-13,751.76,755.60,747.89,750.73,1627833
25-Jan-13,750.77,758.48,750.25,753.67,2225811
24-Jan-13,741.24,756.83,740.51,753.83,3383596
23-Jan-13,735.99,749.00,735.79,741.50,5911865
22-Jan-13,704.66,705.34,695.52,702.87,3792336
18-Jan-13,710.36,712.77,701.33,704.51,3226898
17-Jan-13,717.71,719.64,711.02,711.32,2212357
16-Jan-13,722.40,724.34,713.67,715.19,2024991
15-Jan-13,719.33,735.00,712.10,724.93,3927990
14-Jan-13,737.00,742.20,722.35,723.25,2864106
11-Jan-13,742.00,742.43,736.30,739.99,1285125
10-Jan-13,742.83,745.00,733.50,741.48,1835780
9-Jan-13,732.27,738.35,728.60,738.12,2025751
8-Jan-13,735.54,736.30,724.43,733.30,1676740
7-Jan-13,735.45,739.38,730.58,734.75,1655967
4-Jan-13,729.34,741.47,727.68,737.97,2763552
3-Jan-13,724.93,731.93,720.72,723.67,2318140
2-Jan-13,719.42,727.00,716.55,723.25,2542268
31-Dec-12,700.00,710.57,696.00,707.38,1997733
28-Dec-12,701.69,706.91,700.01,700.01,1403926
27-Dec-12,707.14,708.84,698.61,706.29,1647392
26-Dec-12,708.07,712.88,702.41,708.87,1182572
24-Dec-12,714.51,715.18,707.47,709.50,841931
